MutationType	DO51064	DO51056	DO36283	DO51074	DO51134	DO51060	DO46813	DO51133	DO51112	DO51080	DO51086	DO51116	DO46796	DO51147	DO46787	DO51150	DO51069	DO51140	DO46788	DO51049	DO36359	DO51053	DO51138	DO51057	DO51155	DO51143	DO51066	DO51127	DO51139	DO51052	DO51131	DO51085	DO51078	DO51114	DO51075	DO51068	DO46793	DO51106	DO51103	DO51104	DO46790	DO36239	DO49815	DO51054	DO51120	DO51046	DO51144	DO51090	DO51108	DO51123	DO51091	DO51156	DO51126	DO51117	DO51107	DO51072	DO36262	DO51102	DO36345	DO51044	DO51105	DO51099	DO51051	DO46792	DO51142	DO51067	DO51063	DO51137	DO51145	DO51109	DO46795	DO36254	DO51093	DO51136	DO51122	DO51089	DO51158	DO51157	DO51096	DO36361	DO51129	DO51124	DO36253	DO51088	DO36335	DO51148	DO51061	DO51118	DO51083	DO51159	DO36372	DO51135	DO51048	DO51128	DO51087	DO51115	DO51050	DO36265	DO51154	DO51062	DO51055	DO51111	DO51047	DO51152	DO51110	DO51065	DO51153	DO51070	DO51084	DO36360	DO51141	DO51098	DO51121	DO51073	DO36285	DO36226	DO36248	DO36356	DO51045	DO51100	DO51095	DO51092	DO51094	DO36273	DO51113	DO51081	DO51097	DO51132	DO51079
2:LOH:1Mb-10Mb	0	0	0	1	0	2	2	0	0	1	0	1	1	0	0	0	0	1	0	2	3	0	0	0	0	0	0	3	1	0	0	0	5	1	0	0	0	0	0	1	1	1	2	0	0	0	1	0	0	0	1	3	0	0	2	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	2	0	5	0	0	1	0	1	0	0	0	1	0	1	0	1	21	5	0	3	0	1	2	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	2	0	1	0
2:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
3-4:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:100kb-1Mb	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3-4:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3-4:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	32	53	112	46	59	37	15	243	95	64	197	90	21	25	170	216	49	12	3	0	1	34	50	58	90	54	66	113	49	80	29	173	65	121	210	28	16	72	35	55	27	1	10	95	111	69	42	177	8	115	162	45	42	173	64	133	8	158	9	73	131	25	54	46	44	87	64	75	38	169	49	43	108	8	14	106	29	26	22	1	108	81	103	153	0	130	95	31	251	8	2	221	104	5	39	42	69	2	73	156	92	84	43	106	105	87	37	123	25	60	7	131	199	138	90	30	32	12	276	42	70	47	357	3	57	126	27	23	76
2:het:100kb-1Mb	40	19	31	57	34	14	8	336	346	58	195	295	14	13	33	266	81	10	1	2	7	20	31	23	26	27	65	10	22	21	344	165	89	133	162	18	6	51	26	33	25	6	13	48	153	164	29	69	21	37	205	21	14	356	63	75	28	227	9	61	214	28	8	60	43	29	44	19	10	254	41	12	146	7	20	50	27	9	9	5	53	73	72	227	5	95	32	41	417	9	8	62	235	2	28	57	38	6	36	219	140	73	22	79	117	129	25	72	26	55	12	211	173	87	63	19	15	14	45	173	234	57	273	5	53	75	24	12	41
2:het:1Mb-10Mb	50	68	73	59	92	52	39	331	372	146	252	344	38	52	110	319	204	34	0	0	29	62	60	58	61	55	66	42	75	66	677	236	90	267	139	71	46	103	61	60	61	38	41	89	239	317	61	145	81	49	318	61	34	475	71	169	123	279	43	123	262	90	70	118	65	84	106	73	55	285	70	51	326	34	42	102	47	34	17	24	52	109	79	312	31	130	71	115	470	34	34	135	300	21	67	161	117	33	59	271	225	198	65	83	205	230	73	142	75	79	43	273	374	148	78	46	46	46	249	233	322	123	251	32	116	175	47	29	104
2:het:10Mb-40Mb	46	49	54	48	94	33	33	78	68	74	74	74	26	36	89	75	88	23	0	1	18	43	47	58	49	46	46	37	58	45	39	75	50	88	57	62	22	101	52	39	38	24	30	75	84	89	38	87	87	48	72	50	39	55	45	85	79	86	26	84	80	79	51	78	35	55	71	62	38	82	54	32	84	24	44	70	36	29	23	12	49	59	49	60	15	85	62	62	60	25	19	88	77	13	69	89	82	17	50	83	71	99	52	50	88	91	41	87	57	39	22	85	72	87	59	24	35	22	95	88	84	83	86	21	86	84	44	23	78
2:het:>40Mb	23	22	20	17	11	26	23	2	3	9	2	2	17	26	5	0	4	27	1	0	26	22	21	18	23	20	19	21	19	19	0	3	14	1	14	17	27	8	18	23	27	26	24	9	5	2	18	6	11	17	1	21	20	1	23	5	11	3	26	7	4	12	21	4	25	16	14	14	24	2	19	22	0	26	24	15	27	24	22	28	17	21	12	4	29	7	16	4	0	26	26	6	2	24	17	4	10	28	19	3	5	0	18	15	4	3	22	9	22	22	23	5	1	8	15	26	25	28	0	3	2	13	1	30	12	7	22	25	13
3-4:het:0-100kb	0	1	2	0	1	0	1	9	5	2	41	0	19	0	2	6	1	0	23	13	0	2	0	5	0	1	26	22	0	12	1	10	12	4	2	0	0	5	19	0	2	0	1	5	8	4	19	7	1	4	20	0	1	3	2	5	0	10	0	10	3	2	2	10	1	2	1	9	0	22	0	0	11	1	1	7	2	2	5	0	26	0	17	18	0	3	0	13	24	0	0	21	13	0	6	0	0	0	5	16	13	4	1	3	17	2	0	2	0	3	5	1	5	4	3	0	0	0	10	0	0	0	7	0	0	13	0	8	4
3-4:het:100kb-1Mb	1	3	1	2	0	0	1	3	0	0	31	1	30	0	0	0	3	0	17	10	0	1	0	2	0	2	20	5	0	4	3	2	17	2	1	1	0	0	10	0	2	0	0	0	2	7	16	6	1	2	18	0	1	1	0	2	5	3	1	0	0	0	5	11	0	1	0	4	1	1	2	0	20	0	3	8	1	0	8	0	6	1	18	13	0	3	0	14	4	0	0	0	3	0	1	0	0	1	2	1	6	4	0	1	12	0	1	0	3	1	0	1	9	1	0	0	1	0	1	1	0	1	9	0	0	0	0	2	1
3-4:het:1Mb-10Mb	1	2	0	1	0	0	0	0	0	0	19	0	36	0	0	0	0	0	52	47	0	3	0	5	0	1	4	2	0	3	2	0	5	0	0	0	0	0	6	1	0	0	1	0	0	1	15	3	0	0	15	0	1	0	1	1	8	13	0	0	0	0	10	11	0	0	0	9	0	1	1	2	0	0	0	6	0	0	15	0	1	0	9	22	0	0	2	29	0	0	0	2	0	0	0	0	3	0	0	0	3	2	0	2	2	0	1	0	0	0	3	1	10	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0
3-4:het:10Mb-40Mb	0	3	0	0	0	0	0	0	0	0	1	0	24	0	0	0	0	0	35	43	0	2	0	3	0	0	8	0	0	2	0	0	6	0	0	0	0	0	3	0	0	0	1	0	0	0	3	1	0	0	3	0	0	0	0	0	4	4	0	0	0	0	6	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	17	0	1	0	10	3	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3-4:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	23	21	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:het:0-100kb	0	0	0	0	0	0	0	2	0	0	5	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
5-8:het:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
5-8:het:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
